point_id,paper_legacy_stps,paper_error_pct,paper_fits
dsv32_io1024_1024_bs1,47.776769276130864,-8.197011042154912,True
dsv32_io1024_1024_bs2,96.22112492352956,-6.3301105479119935,True
dsv32_io1024_1024_bs4,182.37032954092865,-8.22406152620867,True
dsv32_io1024_1024_bs8,341.0315278171222,-8.29025430626853,True
dsv32_io1024_1024_bs16,670.5324531729607,-3.0555801560845364,True
dsv32_io1024_1024_bs32,1242.7452610067864,-4.154694527852342,True
dsv32_io1024_1024_bs64,2232.361222249155,-3.689809134002009,True
dsv32_io1024_1024_bs128,3887.80766755948,-1.703816321368179,True
dsv32_io1024_1024_bs256,6396.631229512319,3.185458644743022,True
dsv32_io1024_1024_bs512,9408.006143676614,4.562469127840774,True
dsv32_io3072_1024_bs1,47.2005173448435,-7.317022408863993,True
dsv32_io3072_1024_bs2,95.05255930240864,-5.330622576824251,True
dsv32_io3072_1024_bs4,180.2701000733024,-7.052847405720264,True
dsv32_io3072_1024_bs8,337.356651915206,-7.0701163537687295,True
dsv32_io3072_1024_bs16,663.4278087410679,-1.5944715227770967,True
dsv32_io3072_1024_bs32,1230.5336075035868,-1.682581953765239,True
dsv32_io3072_1024_bs64,2193.263261009586,-1.1093933860556904,True
dsv32_io3072_1024_bs128,3672.029423771866,-1.791185190913247,True
dsv32_io3072_1024_bs256,5787.1690563934,0.3043862495745841,True
dsv32_io7168_1024_bs1,47.2005173448435,-6.601870146514499,True
dsv32_io7168_1024_bs2,95.05255930240864,-4.301326770087877,True
dsv32_io7168_1024_bs4,180.2701000733024,-6.046565129549131,True
dsv32_io7168_1024_bs8,337.356651915206,-5.7783202257169375,True
dsv32_io7168_1024_bs16,663.4278087410679,-0.926168062817012,True
dsv32_io7168_1024_bs32,1230.5336075035868,-0.1419169942241893,True
dsv32_io7168_1024_bs64,2155.348374568193,-0.6550960033191,True
dsv32_io7168_1024_bs128,3548.6357230539443,-2.8856741649956774,True
dsv32_io15360_1024_bs1,47.2005173448435,-6.220747229900114,True
dsv32_io15360_1024_bs2,95.05255930240864,-4.156345554464258,True
dsv32_io15360_1024_bs4,180.2701000733024,-6.080575057769899,True
dsv32_io15360_1024_bs8,337.356651915206,-4.970737941018378,True
dsv32_io15360_1024_bs16,663.4278087410679,0.9663704222858892,True
dsv32_io15360_1024_bs32,1204.1169050648896,0.4648914044081076,True
dsv32_io15360_1024_bs64,2036.9650640315751,-2.5528252014042185,True
dsv32_io31744_1024_bs1,47.2005173448435,-4.850937975360092,True
dsv32_io31744_1024_bs2,95.05255930240864,-2.4168994033390567,True
dsv32_io31744_1024_bs4,180.2701000733024,-3.495700630595988,True
dsv32_io31744_1024_bs8,337.356651915206,-2.9391869212434085,True
dsv32_io31744_1024_bs16,646.539805387392,1.5237517164937042,True
dsv32_io31744_1024_bs32,1128.2348971222295,-2.5082175917838567,True
