M,N,K,tb_m,tb_n,tb_k,wp_m,wp_n,wp_k,stages,row_panel,ag_bytes,noc_hop_time,noc_ext_max,time_noc,time_single_chip,waves,"overall_time/ms(modeling, overlap)",ref_time/ms(gpu)
8192,1376,4096,128,256,64,64,128,64,3,12,8388608.0,7.500000000000001e-06,0.00015870339459459458,0.00016620339459459457,0.00016431343819934757,3,0.22847454066104375,0.26
8192,1792,4096,128,256,64,64,128,64,3,12,8388608.0,7.500000000000001e-06,0.00015870339459459458,0.00016620339459459457,0.00020916694993886042,4,0.2563427985875091,0.27
8192,1024,8192,128,256,64,64,128,64,3,12,16777216.0,7.500000000000001e-06,0.00031740678918918915,0.0003249067891891892,0.0002091669499388604,2,0.4369902641586193,0.5
8192,1792,8192,128,256,64,64,128,64,3,12,16777216.0,7.500000000000001e-06,0.00031740678918918915,0.0003249067891891892,0.0004128073481107021,4,0.4996590454079994,0.51
8192,3584,8192,128,256,64,64,128,64,3,12,16777216.0,7.500000000000001e-06,0.00031740678918918915,0.0003249067891891892,0.0007182679453684647,7,0.7711117723954918,0.75
16384,2048,16384,128,256,64,64,128,64,3,12,67108864.0,7.500000000000001e-06,0.0012696271567567566,0.0012771271567567565,0.0016346497371417523,8,1.800853131736347,1.68
8192,6656,16384,128,256,64,64,128,64,3,12,33554432.0,7.500000000000001e-06,0.0006348135783783783,0.0006423135783783783,0.0026528517280009606,13,2.709183541722374,2.67
16384,6656,16384,128,256,64,64,128,64,3,12,67108864.0,7.500000000000001e-06,0.0012696271567567566,0.0012771271567567565,0.005300176904234903,26,5.356508717956317,5.39
8192,4096,8192,128,256,64,64,128,64,3,12,16777216.0,7.500000000000001e-06,0.00031740678918918915,0.0003249067891891892,0.0008200881444543855,8,0.8672639931030341,0.86
16384,4096,8192,128,256,64,64,128,64,3,12,33554432.0,7.500000000000001e-06,0.0006348135783783783,0.0006423135783783783,0.0016346497371417523,16,1.681825585790401,1.68
16384,4096,16384,128,256,64,64,128,64,3,12,67108864.0,7.500000000000001e-06,0.0012696271567567566,0.0012771271567567565,0.0032637729225164854,16,3.350624619813783,3.27
32768,4096,8192,128,256,64,64,128,64,3,12,67108864.0,7.500000000000001e-06,0.0012696271567567566,0.0012771271567567565,0.0032637729225164854,32,3.310948771165134,3.3
