M,N,G,topk,modeling_dispatch_time/ms,dispatch_ms
4096,7168,256,8,1.5577932594594595,1.517
4096,4096,256,8,0.8912389945945947,0.925
4096,7168,512,8,1.5577932594594595,1.519
4096,4096,512,8,0.8912389945945947,0.929
4096,7168,256,4,0.7801466297297297,0.882
6144,7168,256,4,1.168969935135135,1.15
4096,7168,512,4,0.7801466297297297,0.844
6144,7168,512,4,1.168969935135135,1.13
