M,N,K,tb_m,tb_n,tb_k,wp_m,wp_n,wp_k,stages,row_panel,ag_bytes,noc_hop_time,noc_ext_max,time_noc,time_single_chip,waves,"overall_time/ms(modeling, overlap)",ref_time/ms(gpu)
32768,4096,512,128,128,64,64,64,64,3,12,33554432.0,1e-05,0.0006348135783783784,0.0006448135783783784,0.0005914795079419648,4,0.8267704224708301,0.83
32768,8192,1024,128,128,64,64,64,64,3,12,67108864.0,1e-05,0.0012696271567567568,0.0012796271567567569,0.0015216511629537921,4,1.8953580878905698,1.95
32768,4096,512,128,128,64,64,64,64,3,12,33554432.0,1e-05,0.0006348135783783784,0.0006448135783783784,0.000726613792393879,4,0.9194041540954341,0.96
32768,8192,1024,128,128,64,64,64,64,3,12,67108864.0,1e-05,0.0012696271567567568,0.0012796271567567569,0.001678101681280576,4,2.0518086062173535,2.3
65536,4096,512,128,128,64,64,64,64,3,12,67108864.0,1e-05,0.0012696271567567568,0.0012796271567567569,0.0010479411769083481,4,1.5979125867314325,1.34
65536,8192,1024,128,128,64,64,64,64,3,12,134217728.0,1e-05,0.0025392543135135137,0.0025492543135135137,0.0028894382279558858,4,3.624978279363109,3.31
65536,4096,512,128,128,64,64,64,64,3,12,67108864.0,1e-05,0.0012696271567567568,0.0012796271567567569,0.0011829593177888557,4,1.6316671219515593,1.52
65536,8192,1024,128,128,64,64,64,64,3,12,134217728.0,1e-05,0.0025392543135135137,0.0025492543135135137,0.003043302975367814,4,3.7788430267750375,3.67
