baseline_noc,scaled_layer,bw_multiplier,bs,seq,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,sp,cp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv,recon_rel_err
torus_mesh_mesh_3,L1,1.5,16,1024,8,8,8,8,1,2,2,1,148996.65045666829,148996.65045666829,148996.65045666829,0.0
torus_mesh_mesh_3,L2,0.25,256,1024,9,8,1,64,1,4,1,1,190718.4872354349,177033.42235906454,190718.4872354349,0.0
torus_mesh_mesh_3,L1,1.0,1,1024,8,8,64,4,1,1,1,1,14146.655811178822,14146.655811178822,14146.655811178822,0.0
torus_mesh_mesh_3,L1,1.0,16,8192,8,8,8,8,1,2,2,1,102197.78236513962,102197.78236513962,102197.78236513962,0.0
torus_mesh_mesh_3,L1,0.5,16,1024,8,8,8,8,1,2,2,1,140399.37929430194,140399.37929430194,140399.37929430194,0.0
torus_mesh_mesh_3,L1,2.0,1,1024,8,8,64,4,1,1,1,1,14464.297530298738,14464.297530298738,14464.297530298738,0.0
torus_mesh_mesh_3,L1,1.5,1,1024,8,8,64,4,1,1,1,1,14373.89019818901,14373.89019818901,14373.89019818901,0.0
torus_mesh_mesh_3,L2,0.25,1024,1024,9,8,1,64,1,4,1,1,195612.33220411788,179969.12806457293,195612.33220411788,0.0
torus_mesh_mesh_3,L1,3.0,1,1024,7,8,64,4,1,1,1,1,13209.585069271217,14555.849329171346,13209.585069271216,1.3770223621764461e-16
torus_mesh_mesh_3,L1,1.5,16,8192,8,8,8,8,1,2,2,1,102631.84889199553,102631.84889199553,102631.84889199553,0.0
torus_mesh_mesh_3,L2,0.5,1024,1024,9,8,1,8,8,4,1,1,209468.84202877874,190893.94606575154,209468.8420287788,2.778821916887777e-16
torus_mesh_mesh_3,L1,2.0,16,8192,8,8,8,8,1,2,2,1,102822.64623687054,102822.64623687054,102822.64623687054,0.0
torus_mesh_mesh_3,L1,3.0,16,1024,7,8,8,8,1,2,2,1,127206.93695688515,149820.48083973394,127206.93695688515,0.0
torus_mesh_mesh_3,L1,2.0,16,1024,8,8,8,8,1,2,2,1,149424.09939576534,149424.09939576534,149424.09939576534,0.0
torus_mesh_mesh_3,L2,0.25,64,8192,9,8,2,16,1,4,2,1,109949.51911592613,99794.1200798645,109949.51911592612,1.323508765238339e-16
torus_mesh_mesh_3,L2,0.5,64,1024,9,8,2,16,1,4,2,1,180512.31566603,167504.86035420033,180512.31566603,0.0
torus_mesh_mesh_3,L2,0.5,256,8192,9,8,1,8,8,4,1,1,118624.6589642634,112766.09306523878,118624.6589642634,0.0
torus_mesh_mesh_3,L1,0.25,4,1024,8,8,32,2,1,2,2,1,53570.1126386934,53570.1126386934,53570.1126386934,0.0
torus_mesh_mesh_3,L2,0.5,256,1024,9,8,1,64,1,4,1,1,202528.11637737483,187103.20302394213,202528.11637737483,0.0
torus_mesh_mesh_3,L1,1.5,4,1024,8,8,32,2,1,2,2,1,69262.71425830184,69262.71425830184,69262.71425830184,0.0
torus_mesh_mesh_3,L1,4.0,1,1024,7,8,64,4,1,1,1,1,13247.628801904768,14602.061216364824,13247.628801904768,0.0
torus_mesh_mesh_3,L1,1.0,4,1024,8,8,32,2,1,2,2,1,68081.68919541845,68081.68919541845,68081.68919541845,0.0
torus_mesh_mesh_3,L1,4.0,16,1024,7,8,8,8,1,2,2,1,127215.99487585497,149834.84075448004,127215.99487585496,1.143874655271728e-16
torus_mesh_mesh_3,L1,3.0,16,8192,7,8,8,8,1,2,2,1,87546.81088028409,102998.30961474226,87546.81088028409,0.0
torus_mesh_mesh_3,L2,1.0,256,1024,8,8,1,64,1,4,1,1,188585.4767902949,188585.4767902949,188585.4767902949,0.0
torus_mesh_mesh_3,L2,1.0,256,8192,8,8,2,32,4,1,1,1,113180.04507108974,113180.04507108974,108284.17367516144,0.04521317594032982
torus_mesh_mesh_3,L2,1.0,1024,1024,8,8,1,64,1,4,1,1,191052.4076448931,191052.4076448931,191052.4076448931,0.0
torus_mesh_mesh_3,L1,0.5,4,1024,8,8,32,2,1,2,2,1,62806.78779512748,62806.78779512748,62806.78779512748,0.0
torus_mesh_mesh_3,L2,0.25,16,1024,9,8,8,8,1,2,2,1,150778.6700565405,135326.42090616538,150778.6700565405,0.0
torus_mesh_mesh_3,L2,1.0,64,8192,8,8,8,8,2,2,1,1,103566.29798339856,103566.29798339856,103566.29798339856,0.0
torus_mesh_mesh_3,L1,0.25,4,8192,8,8,32,2,1,2,2,1,57389.76040769857,57389.76040769857,57389.76040769857,0.0
torus_mesh_mesh_3,L2,0.25,1,1024,9,8,64,4,1,1,1,1,12442.39480554018,11775.60818678491,12442.39480554018,0.0
torus_mesh_mesh_3,L2,1.5,64,1024,7,8,2,16,1,4,2,1,144922.75567999593,169076.2964881729,144922.75567999593,0.0
torus_mesh_mesh_3,L2,0.25,16,8192,9,8,8,8,1,2,2,1,107661.74158938926,97649.11029574974,107661.74158938926,0.0
torus_mesh_mesh_3,L1,0.5,4,8192,8,8,32,2,1,2,2,1,69427.68014357905,69427.68014357905,69427.68014357905,0.0
torus_mesh_mesh_3,L1,3.0,4,1024,7,8,32,2,1,2,1,2,63176.23734113136,70383.02764084468,63176.23734113136,0.0
torus_mesh_mesh_3,L1,1.0,4,8192,8,8,32,2,1,2,2,1,76690.11470770676,76690.11470770676,76690.11470770676,0.0
torus_mesh_mesh_3,L1,2.0,4,1024,8,8,32,2,1,2,2,1,69832.93892987087,69832.93892987087,69832.93892987087,0.0
torus_mesh_mesh_3,L2,1.0,64,1024,8,8,2,16,1,4,2,1,169076.2964881729,169076.2964881729,169076.2964881729,0.0
