baseline_noc,scaled_layer,bw_multiplier,bs,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv
torus_mesh_mesh_3,L1,1.5,16,8,8,32,8,1,1,1284.4380691692159,1284.4380691692159,1284.438069169216
torus_mesh_mesh_3,L1,3.0,4,7,8,32,8,1,1,286.70885344565966,297.73868438714817,286.70885344565966
torus_mesh_mesh_3,L1,4.0,1,7,8,32,8,1,1,72.11699712775469,75.24233518522155,72.11699712775469
torus_mesh_mesh_3,L1,4.0,16,7,8,32,8,1,1,1202.7349653730917,1285.1905035434258,1202.7349653730917
torus_mesh_mesh_3,L2,1.5,4096,7,8,1,32,1,8,44761.69308422469,52484.49195664298,44761.69308422469
torus_mesh_mesh_3,L2,1.5,64,7,8,16,16,1,1,4416.87355576835,4496.911533521197,4416.87355576835
torus_mesh_mesh_3,L2,2.0,4096,6,8,1,32,1,8,39145.572002314686,52484.49195664298,39145.572002314686
torus_mesh_mesh_3,L2,0.25,16,9,8,32,8,1,1,1205.779716473498,1257.054204576079,1205.779716473498
torus_mesh_mesh_3,L2,3.0,256,5,8,8,16,1,2,8305.983063680906,11020.33989099456,8305.983063680906
torus_mesh_mesh_3,L2,2.0,64,6,8,16,16,1,1,4271.280777222106,4496.911533521197,4271.280777222106
torus_mesh_mesh_3,L1,4.0,4,7,8,32,8,1,1,286.7238739747269,297.75488295020597,286.7238739747269
torus_mesh_mesh_3,L2,0.5,1024,9,8,4,16,1,4,31979.548630648947,31471.24904198582,31979.548630648947
torus_mesh_mesh_3,L1,3.0,1,7,8,32,8,1,1,72.11319617202108,75.23819763458053,72.11319617202108
torus_mesh_mesh_3,L2,4.0,256,3,8,8,16,1,2,5421.671643790765,11020.33989099456,5421.671643790765
torus_mesh_mesh_3,L2,1.0,1,8,8,32,8,1,1,75.18837248889557,75.18837248889557,75.18837248889557
torus_mesh_mesh_3,L2,1.0,1024,8,8,4,32,1,2,31471.24904198582,31471.24904198582,31471.24904198582
torus_mesh_mesh_3,L2,3.0,4096,5,8,1,32,1,8,33546.08538685276,52484.49195664298,33546.08538685276
torus_mesh_mesh_3,L2,3.0,64,5,8,16,16,1,1,3527.0194455871515,4496.911533521197,3527.0194455871515
torus_mesh_mesh_3,L2,1.5,1024,7,8,4,32,1,2,30038.680119890454,31471.24904198582,30038.68011989045
torus_mesh_mesh_3,L2,2.0,1024,6,8,4,32,1,2,27263.95297235273,31471.24904198582,27263.95297235273
torus_mesh_mesh_3,L2,4.0,64,3,8,16,16,1,1,2566.1710672689746,4496.911533521197,2566.171067268974
torus_mesh_mesh_3,L1,2.0,1,8,8,32,8,1,1,75.22992389833496,75.22992389833496,75.22992389833496
torus_mesh_mesh_3,L2,1.0,4,8,8,32,8,1,1,297.5436168175524,297.5436168175524,297.5436168175524
torus_mesh_mesh_3,L2,4.0,4096,3,8,1,32,1,8,20499.499005364534,52484.49195664298,20499.49900536453
torus_mesh_mesh_3,L2,0.25,4,9,8,32,8,1,1,300.6583920889376,293.8229929340727,300.6583920889376
torus_mesh_mesh_3,L3,0.25,256,9,8,4,16,1,4,10045.127331928423,10032.29402013792,10045.127331928425
torus_mesh_mesh_3,L2,0.5,4,9,8,32,8,1,1,303.5696666460248,296.60276603859637,303.5696666460248
torus_mesh_mesh_3,L3,0.5,256,8,8,8,16,1,2,10599.355368419456,10599.355368419456,10599.355368419456
torus_mesh_mesh_3,L2,1.0,16,8,8,32,8,1,1,1283.2270618704324,1283.2270618704324,1283.2270618704324
torus_mesh_mesh_3,L2,0.25,1,9,8,32,8,1,1,76.02207877786874,74.27446470193931,76.02207877786874
torus_mesh_mesh_3,L2,1.5,1,7,8,32,8,1,1,72.08449746697796,75.20695811638187,72.08449746697796
torus_mesh_mesh_3,L2,0.5,16,9,8,32,8,1,1,1221.8385051067862,1274.5176514505217,1221.8385051067862
torus_mesh_mesh_3,L3,1.0,256,8,8,8,16,1,2,11017.519247665692,11017.519247665692,11017.519247665692
torus_mesh_mesh_3,L2,3.0,1024,5,8,4,32,1,2,25077.7171544839,31471.24904198582,25077.7171544839
torus_mesh_mesh_3,L3,0.25,4096,9,8,1,32,1,8,52979.3815641786,50948.61362864649,52979.3815641786
torus_mesh_mesh_3,L3,0.25,64,9,8,16,16,1,1,3358.650020463224,3458.0043020168887,3358.650020463224
torus_mesh_mesh_3,L3,1.5,256,7,8,8,16,1,2,10720.409378484888,11164.338850194805,10720.409378484888
torus_mesh_mesh_3,L2,1.5,16,7,8,32,8,1,1,1201.607032627844,1283.9028246838636,1201.607032627844
torus_mesh_mesh_3,L3,0.5,4096,8,8,1,32,1,8,51962.32928638096,51962.32928638096,51962.32928638096
torus_mesh_mesh_3,L2,2.0,1,6,8,32,8,1,1,70.16175905584223,75.20695811638187,70.16175905584223
torus_mesh_mesh_3,L3,0.5,64,8,8,16,16,1,1,4090.6976695569124,4090.6976695569124,4090.697669556912
torus_mesh_mesh_3,L2,2.0,4,6,8,32,8,1,1,278.995944805612,297.6163806642575,278.995944805612
