baseline_noc,scaled_layer,bw_multiplier,logic_norm_stps,dram_norm_stps
torus_mesh_mesh_3,L1,0.25,0.8650768761495274,0.8650768761495274
torus_mesh_mesh_3,L1,0.5,0.956133693608648,0.956133693608648
torus_mesh_mesh_3,L1,1.0,1.0,1.0
torus_mesh_mesh_3,L1,1.5,1.007618278486421,1.007618278486421
torus_mesh_mesh_3,L1,2.0,1.0109947240582033,1.0109947240582033
torus_mesh_mesh_3,L1,3.0,0.8788838921917228,1.014188640371714
torus_mesh_mesh_3,L1,4.0,0.8794148819109839,1.0149519374936435
torus_mesh_mesh_3,L2,0.25,0.9818514859926144,0.9060676098968546
torus_mesh_mesh_3,L2,0.5,1.0588197454524115,0.9724370983906211
torus_mesh_mesh_3,L2,1.0,1.0,1.0
torus_mesh_mesh_3,L2,1.5,0.8702174742381114,1.0026546741329194
torus_mesh_mesh_3,L2,2.0,0.7879227965727105,1.0026546741329194
torus_mesh_mesh_3,L2,3.0,0.6592885144160429,1.0026546741329194
torus_mesh_mesh_3,L2,4.0,0.4317628828041217,1.0096880082612616
torus_mesh_mesh_3,L3,0.25,0.9830728811398797,0.9058261849120932
torus_mesh_mesh_3,L3,0.5,0.9492381593292785,0.9560227160769107
torus_mesh_mesh_3,L3,1.0,1.0,1.0
torus_mesh_mesh_3,L3,1.5,0.8881771574975871,1.023493930073308
torus_mesh_mesh_3,L3,2.0,0.9038944010213809,1.0433382617624587
torus_mesh_mesh_3,L3,3.0,0.8339096678996284,1.0664287253253373
torus_mesh_mesh_3,L3,4.0,0.6973117113200096,1.0736943481680419
torus_mesh_switch_1,L1,0.25,0.980146773651125,0.980146773651125
torus_mesh_switch_1,L1,0.5,0.9956097651784185,0.9956097651784185
torus_mesh_switch_1,L1,1.0,1.0,1.0
torus_mesh_switch_1,L1,1.5,1.0029475665648782,1.0029475665648782
torus_mesh_switch_1,L1,2.0,1.0047038516004418,1.0047038516004418
torus_mesh_switch_1,L1,3.0,0.8919036585537268,1.0168348602802242
torus_mesh_switch_1,L1,4.0,0.8928535113323322,1.0179873142030982
torus_mesh_switch_1,L2,0.25,1.0445395673759643,0.9656575776970535
torus_mesh_switch_1,L2,0.5,1.076378634815196,0.993148990165214
torus_mesh_switch_1,L2,1.0,1.0,1.0
torus_mesh_switch_1,L2,1.5,0.8895856805957556,1.0139050158301544
torus_mesh_switch_1,L2,2.0,0.8155156339883004,1.0165828803874888
torus_mesh_switch_1,L2,3.0,0.6960107765021001,1.0197451845983057
torus_mesh_switch_1,L2,4.0,0.46658138696352575,1.0195423958629313
torus_mesh_switch_1,L3,0.25,0.8015318561928737,0.7462992694251933
torus_mesh_switch_1,L3,0.5,0.8689266482944725,0.871547714049382
torus_mesh_switch_1,L3,1.0,1.0,1.0
torus_mesh_switch_1,L3,1.5,0.9376763540782481,1.0740272463115088
torus_mesh_switch_1,L3,2.0,0.9669637017351129,1.106309109134096
torus_mesh_switch_1,L3,3.0,0.91864542166963,1.1591733935992694
torus_mesh_switch_1,L3,4.0,0.7868774581505945,1.1947924826276177
