arch,noc,model,bs,minibatch,seq,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,max_activation/GiB,mem_weight/GiB,kv_cache/GiB,kv_len_1,time_gqa_1ms,time_mla_1ms,utps_1,stps_1,kv_len_2,time_gqa_2ms,time_mla_2ms,utps_2,stps_2,kv_len_3,time_gqa_3ms,time_mla_3ms,utps_3,stps_3,kv_len_4,time_gqa_4ms,time_mla_4ms,utps_4,stps_4,pp_p2p_time_ms,time_dense_ffn_ms,time_moe_ms,time_rms_norm_ms,time_add_residual_ms,utps_avg,stps_avg,stats_run_id
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,1,1,1,4,1,1,1,1,1,1,False,1,replace_only,0.000988006591796875,109.08860778808594,0.091796875,1024,10.079325117097506,0,26.082851136121924,26.082851136121924,1365,11.003240115616027,0,25.469088450174098,25.469088450174098,1707,11.929864542282694,0,24.881869378778777,24.881869378778777,2048,12.85377954080121,0,24.322720859874618,24.322720859874618,0,0,25.816656011205026,2.064676362494331,0.3787094281481481,25.189132456237356,25.189132456237356,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_f58ab8ffb6
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,2,2,1,4,1,1,1,1,1,1,False,1,replace_only,0.00197601318359375,109.08860778808594,0.18359375,1024,7.441235656417234,0,26.576636714966504,53.15327342993301,1365,8.365150654935753,0,25.939698994176766,51.87939798835353,1707,9.29177508160242,0,25.330837888309418,50.661675776618836,2048,10.21569008012094,0,24.751563652319426,49.50312730463885,0,0,26.82331695981057,2.983771455948601,0.3787094281481481,25.64968431244303,51.29936862488606,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_d589d376ca
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,4,4,1,4,1,1,1,1,1,1,False,1,replace_only,0.0039520263671875,109.08860778808594,0.3671875,1024,6.677820989871504,0,28.378102156826014,113.51240862730405,1365,7.601735988390022,0,27.653067642481414,110.61227056992566,1707,8.52836041505669,0,26.96218831476029,107.84875325904116,2048,9.452275413575206,0,26.306864069841833,105.22745627936733,0,0,25.182794159941885,2.9991136542252455,0.3787094281481481,27.32505554597739,109.30022218390955,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_48c8f77ce2
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,8,8,1,4,1,1,1,1,1,1,False,1,replace_only,0.007904052734375,109.08860778808594,0.734375,1024,6.25643834122449,0,28.636481654356643,229.09185323485315,1365,7.180353339743008,0,27.898356020378262,223.1868481630261,1707,8.106977766409676,0,27.19532165200391,217.56257321603127,2048,9.030892764928193,0,26.528755743003025,212.2300459440242,0,0,25.254765093365567,3.030578141360544,0.3787094281481481,27.56472876743546,220.5178301394837,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_683b39385a
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,16,16,1,4,1,1,1,1,1,1,False,1,replace_only,0.01580810546875,109.08860778808594,1.46875,1024,6.477806240967499,0,26.754296216716135,428.06873946745816,1365,7.401721239486017,0,26.10891782585374,417.74268521365985,1707,8.328345666152686,0,25.492181377265094,407.8749020362415,2048,9.252260664671201,0,24.90558976656701,398.4894362650722,0,0,26.70276561604675,3.8178932777475425,0.3787094281481481,25.8152462966005,413.043940745608,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_921784904c
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,32,32,1,4,1,1,1,1,1,1,False,1,replace_only,0.0316162109375,109.08860778808594,2.9375,1024,6.530384387120182,0,26.838345320188644,858.8270502460366,1365,7.4542993856387,0,26.188954835793034,838.0465547453771,1707,8.380923812305369,0,25.568476304906525,818.1912417570088,2048,9.304838810823886,0,24.978408885257927,799.3090843282537,0,0,26.497267422569582,3.851050554965986,0.38141885629629624,25.89354633653653,828.593482769169,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_d1ca3458cb
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,64,64,1,4,1,1,1,1,1,1,False,1,replace_only,0.063232421875,109.08860778808594,5.875,1024,7.069049183129251,0,24.238231921945612,1551.2468430045192,1365,7.9929641816477695,0,23.707328443847278,1517.2690204062258,1707,8.919588608314438,0,23.197725686147322,1484.6544439134286,2048,9.843503606832956,0,22.710967722028677,1453.5019342098353,0,0,29.73883553164044,4.062412301783824,0.3868377125925926,23.46356344349222,1501.668060383502,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_34e1495f0f
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,128,128,1,4,1,1,1,1,1,1,False,1,replace_only,0.12646484375,109.08860778808594,11.75,1024,8.00715734984369,0,22.430802982342296,2871.142781739814,1365,8.931072348362207,0,21.975381757922037,2812.8488650140207,1707,9.857696775028874,0,21.536828914746355,2756.7141010875334,2048,10.781611773547393,0,21.116645691188772,2702.930648472163,0,0,31.640514643606068,4.538913583356008,0.394965997037037,21.764914836549863,2785.9090990783825,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_6e40413660
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,256,256,1,4,1,1,1,1,1,1,False,1,replace_only,0.2529296875,109.08860778808594,23.5,1024,10.23763649382071,0,19.752304097489617,5056.589848957342,1365,11.161551492339228,0,19.398295866770983,4965.963741893372,1707,12.088175919005895,0,19.055769650017602,4878.277030404506,2048,13.012090917524414,0,18.726079945847065,4793.876466136849,0,0,34.442705631516986,5.532730966394558,0.41393199407407405,19.233112390031316,4923.676771848017,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_46ed7ee069
MI325XSpec,mi325x4_all2all,Qwen3_235b_a22b,512,512,1,4,1,1,1,1,1,1,False,1,replace_only,0.505859375,109.08860778808594,47.0,1024,15.348688198071049,0,16.28481250782091,8337.824004004306,1365,17.196518195108087,0,15.809092182073035,8094.255197221394,1707,19.04976704844142,0,15.35909851894391,7863.858441699282,2048,20.89759704547846,0,14.93522194067673,7646.833633626486,0,0,37.34598517836504,8.26308107892668,0.44915456,15.597056287378646,7985.6928191378665,Qwen3_235b_a22b_MI325XSpec_mi325x4_all2all_5ce8c76676
