hw_idx,m,n,L1_mult,L2_mult,L3_mult,sm_count,tp,ep,dp,pp,fsdp,tp_transform_moe,scaled_stps_avg
0,7,7,0.5,0.5,0.5,7,4,32,2,1,False,replace_only,40055.51664858271
0,7,7,0.5,0.5,0.8,7,4,32,2,1,False,replace_only,50253.57177442228
0,7,7,0.5,0.5,1.0,6,4,32,2,1,False,replace_only,51058.307265456715
0,7,7,0.5,0.5,1.2,6,4,32,2,1,False,replace_only,52468.75511237726
0,7,7,0.5,0.5,1.5,6,4,32,2,1,False,replace_only,53937.86022415709
0,7,7,0.5,0.5,2.0,5,4,32,2,1,False,replace_only,47777.05294128394
0,7,7,0.5,0.8,0.5,6,4,32,2,1,False,replace_only,38954.688918473716
0,7,7,0.5,0.8,0.8,6,4,32,2,1,False,replace_only,48542.50027873264
0,7,7,0.5,0.8,1.0,6,4,32,2,1,False,replace_only,51058.307265456715
0,7,7,0.5,0.8,1.2,6,4,32,2,1,False,replace_only,52468.75511237726
0,7,7,0.5,0.8,1.5,5,4,32,2,1,False,replace_only,47492.623344194515
0,7,7,0.5,0.8,2.0,5,4,32,2,1,False,replace_only,47777.05294128394
0,7,7,0.5,1.0,0.5,6,4,32,2,1,False,replace_only,38954.688918473716
0,7,7,0.5,1.0,0.8,6,4,32,2,1,False,replace_only,48542.50027873264
0,7,7,0.5,1.0,1.0,6,4,32,2,1,False,replace_only,51058.307265456715
0,7,7,0.5,1.0,1.2,5,4,32,2,1,False,replace_only,46618.377184762845
0,7,7,0.5,1.0,1.5,5,4,32,2,1,False,replace_only,47492.623344194515
0,7,7,0.5,1.0,2.0,5,4,32,2,1,False,replace_only,47777.05294128394
0,7,7,0.5,1.2,0.5,6,4,32,2,1,False,replace_only,38954.688918473716
0,7,7,0.5,1.2,0.8,6,4,32,2,1,False,replace_only,48542.50027873264
0,7,7,0.5,1.2,1.0,5,4,32,2,1,False,replace_only,45553.86441126195
0,7,7,0.5,1.2,1.2,5,4,32,2,1,False,replace_only,46618.377184762845
0,7,7,0.5,1.2,1.5,5,4,32,2,1,False,replace_only,47492.623344194515
0,7,7,0.5,1.2,2.0,4,4,32,2,1,False,replace_only,42213.17698059968
0,7,7,0.5,1.5,0.5,5,4,32,2,1,False,replace_only,36572.56108318384
0,7,7,0.5,1.5,0.8,5,4,32,2,1,False,replace_only,44045.55745798119
0,7,7,0.5,1.5,1.0,5,4,32,2,1,False,replace_only,45553.86441126195
0,7,7,0.5,1.5,1.2,5,4,32,2,1,False,replace_only,46618.377184762845
0,7,7,0.5,1.5,1.5,4,4,32,2,1,False,replace_only,41888.344951883235
0,7,7,0.5,1.5,2.0,4,4,32,2,1,False,replace_only,42213.17698059968
0,7,7,0.5,2.0,0.5,5,4,32,2,1,False,replace_only,36572.56108318384
0,7,7,0.5,2.0,0.8,4,4,32,2,1,False,replace_only,39114.568502924245
0,7,7,0.5,2.0,1.0,4,4,32,2,1,False,replace_only,40256.81722976318
0,7,7,0.5,2.0,1.2,4,4,32,2,1,False,replace_only,41056.29973626183
0,7,7,0.5,2.0,1.5,4,4,32,2,1,False,replace_only,41888.344951883235
0,7,7,0.5,2.0,2.0,3,4,32,2,1,False,replace_only,32009.166726771415
0,7,7,0.8,0.5,0.5,7,4,32,2,1,False,replace_only,40076.31925183751
0,7,7,0.8,0.5,0.8,6,4,32,2,1,False,replace_only,48566.99439193697
0,7,7,0.8,0.5,1.0,6,4,32,2,1,False,replace_only,51085.41786966833
0,7,7,0.8,0.5,1.2,6,4,32,2,1,False,replace_only,52497.39146538114
0,7,7,0.8,0.5,1.5,6,4,32,2,1,False,replace_only,53968.13081981486
0,7,7,0.8,0.5,2.0,5,4,32,2,1,False,replace_only,47796.833283967455
0,7,7,0.8,0.8,0.5,6,4,32,2,1,False,replace_only,38970.43957389242
0,7,7,0.8,0.8,0.8,6,4,32,2,1,False,replace_only,48566.99439193697
0,7,7,0.8,0.8,1.0,6,4,32,2,1,False,replace_only,51085.41786966833
0,7,7,0.8,0.8,1.2,6,4,32,2,1,False,replace_only,52497.39146538114
0,7,7,0.8,0.8,1.5,5,4,32,2,1,False,replace_only,47512.16781075955
0,7,7,0.8,0.8,2.0,5,4,32,2,1,False,replace_only,47796.833283967455
0,7,7,0.8,1.0,0.5,6,4,32,2,1,False,replace_only,38970.43957389242
0,7,7,0.8,1.0,0.8,6,4,32,2,1,False,replace_only,48566.99439193697
0,7,7,0.8,1.0,1.0,6,4,32,2,1,False,replace_only,51085.41786966833
0,7,7,0.8,1.0,1.2,5,4,32,2,1,False,replace_only,46637.20561534446
0,7,7,0.8,1.0,1.5,5,4,32,2,1,False,replace_only,47512.16781075955
0,7,7,0.8,1.0,2.0,5,4,32,2,1,False,replace_only,47796.833283967455
0,7,7,0.8,1.2,0.5,6,4,32,2,1,False,replace_only,38970.43957389242
0,7,7,0.8,1.2,0.8,5,4,32,2,1,False,replace_only,44062.3571141949
0,7,7,0.8,1.2,1.0,5,4,32,2,1,False,replace_only,45571.83923682829
0,7,7,0.8,1.2,1.2,5,4,32,2,1,False,replace_only,46637.20561534446
0,7,7,0.8,1.2,1.5,5,4,32,2,1,False,replace_only,47512.16781075955
0,7,7,0.8,1.2,2.0,4,4,32,2,1,False,replace_only,42226.42318840865
0,7,7,0.8,1.5,0.5,5,4,32,2,1,False,replace_only,36584.12959356554
0,7,7,0.8,1.5,0.8,5,4,32,2,1,False,replace_only,44062.3571141949
0,7,7,0.8,1.5,1.0,5,4,32,2,1,False,replace_only,45571.83923682829
0,7,7,0.8,1.5,1.2,5,4,32,2,1,False,replace_only,46637.20561534446
0,7,7,0.8,1.5,1.5,4,4,32,2,1,False,replace_only,41901.387020626644
0,7,7,0.8,1.5,2.0,4,4,32,2,1,False,replace_only,42226.42318840865
0,7,7,0.8,2.0,0.5,5,4,32,2,1,False,replace_only,36584.12959356554
0,7,7,0.8,2.0,0.8,4,4,32,2,1,False,replace_only,39125.93287760433
0,7,7,0.8,2.0,1.0,4,4,32,2,1,False,replace_only,40268.85830028115
0,7,7,0.8,2.0,1.2,4,4,32,2,1,False,replace_only,41068.82624953672
0,7,7,0.8,2.0,1.5,4,4,32,2,1,False,replace_only,41901.387020626644
0,7,7,0.8,2.0,2.0,3,4,32,2,1,False,replace_only,32014.57480472381
0,7,7,1.0,0.5,0.5,7,4,32,2,1,False,replace_only,40083.25826415923
0,7,7,1.0,0.5,0.8,6,4,32,2,1,False,replace_only,48575.16461150961
0,7,7,1.0,0.5,1.0,6,4,32,2,1,False,replace_only,51094.46116387095
0,7,7,1.0,0.5,1.2,6,4,32,2,1,False,replace_only,52506.94389512227
0,7,7,1.0,0.5,1.5,6,4,32,2,1,False,replace_only,53978.22860593382
0,7,7,1.0,0.5,2.0,5,4,32,2,1,False,replace_only,47803.43038763596
0,7,7,1.0,0.8,0.5,6,4,32,2,1,False,replace_only,38975.692630214755
0,7,7,1.0,0.8,0.8,6,4,32,2,1,False,replace_only,48575.16461150961
0,7,7,1.0,0.8,1.0,6,4,32,2,1,False,replace_only,51094.46116387095
0,7,7,1.0,0.8,1.2,6,4,32,2,1,False,replace_only,52506.94389512227
0,7,7,1.0,0.8,1.5,5,4,32,2,1,False,replace_only,47518.68622356811
0,7,7,1.0,0.8,2.0,5,4,32,2,1,False,replace_only,47803.43038763596
0,7,7,1.0,1.0,0.5,6,4,32,2,1,False,replace_only,38975.692630214755
0,7,7,1.0,1.0,0.8,6,4,32,2,1,False,replace_only,48575.16461150961
0,7,7,1.0,1.0,1.0,6,4,32,2,1,False,replace_only,51094.46116387095
0,7,7,1.0,1.0,1.2,5,4,32,2,1,False,replace_only,46643.485153171205
0,7,7,1.0,1.0,1.5,5,4,32,2,1,False,replace_only,47518.68622356811
0,7,7,1.0,1.0,2.0,5,4,32,2,1,False,replace_only,47803.43038763596
0,7,7,1.0,1.2,0.5,6,4,32,2,1,False,replace_only,38975.692630214755
0,7,7,1.0,1.2,0.8,5,4,32,2,1,False,replace_only,44067.95985838832
0,7,7,1.0,1.2,1.0,5,4,32,2,1,False,replace_only,45577.83401054902
0,7,7,1.0,1.2,1.2,5,4,32,2,1,False,replace_only,46643.485153171205
0,7,7,1.0,1.2,1.5,5,4,32,2,1,False,replace_only,47518.68622356811
0,7,7,1.0,1.2,2.0,4,4,32,2,1,False,replace_only,42230.84044810279
0,7,7,1.0,1.5,0.5,5,4,32,2,1,False,replace_only,36587.98739439721
0,7,7,1.0,1.5,0.8,5,4,32,2,1,False,replace_only,44067.95985838832
0,7,7,1.0,1.5,1.0,5,4,32,2,1,False,replace_only,45577.83401054902
0,7,7,1.0,1.5,1.2,5,4,32,2,1,False,replace_only,46643.485153171205
0,7,7,1.0,1.5,1.5,4,4,32,2,1,False,replace_only,41905.73619098419
0,7,7,1.0,1.5,2.0,4,4,32,2,1,False,replace_only,42230.84044810279
0,7,7,1.0,2.0,0.5,5,4,32,2,1,False,replace_only,36587.98739439721
0,7,7,1.0,2.0,0.8,4,4,32,2,1,False,replace_only,39129.722476619754
0,7,7,1.0,2.0,1.0,4,4,32,2,1,False,replace_only,40272.873598823615
0,7,7,1.0,2.0,1.2,4,4,32,2,1,False,replace_only,41073.003461056265
0,7,7,1.0,2.0,1.5,4,4,32,2,1,False,replace_only,41905.73619098419
0,7,7,1.0,2.0,2.0,3,4,32,2,1,False,replace_only,32016.37790619889
0,7,7,1.2,0.5,0.5,7,4,32,2,1,False,replace_only,40087.88560991231
0,7,7,1.2,0.5,0.8,6,4,32,2,1,False,replace_only,48580.612957762096
0,7,7,1.2,0.5,1.0,6,4,32,2,1,False,replace_only,51100.491813196684
0,7,7,1.2,0.5,1.2,6,4,32,2,1,False,replace_only,52513.314121816235
0,7,7,1.2,0.5,1.5,6,4,32,2,1,False,replace_only,53984.96257286175
0,7,7,1.2,0.5,2.0,5,4,32,2,1,False,replace_only,47807.829472993566
0,7,7,1.2,0.8,0.5,6,4,32,2,1,False,replace_only,38979.195456552865
0,7,7,1.2,0.8,0.8,6,4,32,2,1,False,replace_only,48580.612957762096
0,7,7,1.2,0.8,1.0,6,4,32,2,1,False,replace_only,51100.491813196684
0,7,7,1.2,0.8,1.2,6,4,32,2,1,False,replace_only,52513.314121816235
0,7,7,1.2,0.8,1.5,5,4,32,2,1,False,replace_only,47523.03283014576
0,7,7,1.2,0.8,2.0,5,4,32,2,1,False,replace_only,47807.829472993566
0,7,7,1.2,1.0,0.5,6,4,32,2,1,False,replace_only,38979.195456552865
0,7,7,1.2,1.0,0.8,6,4,32,2,1,False,replace_only,48580.612957762096
0,7,7,1.2,1.0,1.0,5,4,32,2,1,False,replace_only,45581.831406128724
0,7,7,1.2,1.0,1.2,5,4,32,2,1,False,replace_only,46647.67245518077
0,7,7,1.2,1.0,1.5,5,4,32,2,1,False,replace_only,47523.03283014576
0,7,7,1.2,1.0,2.0,5,4,32,2,1,False,replace_only,47807.829472993566
0,7,7,1.2,1.2,0.5,6,4,32,2,1,False,replace_only,38979.195456552865
0,7,7,1.2,1.2,0.8,5,4,32,2,1,False,replace_only,44071.69581576668
0,7,7,1.2,1.2,1.0,5,4,32,2,1,False,replace_only,45581.831406128724
0,7,7,1.2,1.2,1.2,5,4,32,2,1,False,replace_only,46647.67245518077
0,7,7,1.2,1.2,1.5,5,4,32,2,1,False,replace_only,47523.03283014576
0,7,7,1.2,1.2,2.0,4,4,32,2,1,False,replace_only,42233.78580401197
0,7,7,1.2,1.5,0.5,5,4,32,2,1,False,replace_only,36590.55971481583
0,7,7,1.2,1.5,0.8,5,4,32,2,1,False,replace_only,44071.69581576668
0,7,7,1.2,1.5,1.0,5,4,32,2,1,False,replace_only,45581.831406128724
0,7,7,1.2,1.5,1.2,5,4,32,2,1,False,replace_only,46647.67245518077
0,7,7,1.2,1.5,1.5,4,4,32,2,1,False,replace_only,41908.63614205518
0,7,7,1.2,1.5,2.0,4,4,32,2,1,False,replace_only,42233.78580401197
0,7,7,1.2,2.0,0.5,4,4,32,2,1,False,replace_only,34233.290628225615
0,7,7,1.2,2.0,0.8,4,4,32,2,1,False,replace_only,39132.24928562845
0,7,7,1.2,2.0,1.0,4,4,32,2,1,False,replace_only,40275.55091149782
0,7,7,1.2,2.0,1.2,4,4,32,2,1,False,replace_only,41075.788743156176
0,7,7,1.2,2.0,1.5,4,4,32,2,1,False,replace_only,41908.63614205518
0,7,7,1.2,2.0,2.0,3,4,32,2,1,False,replace_only,32017.580087441496
