point_id,expected_logic_stps,expected_dram_stps
decode_0001,67.1257355364626,67.1257355364626
decode_0002,266.113288565073,266.113288565073
decode_0003,1197.24602008808,1197.24602008808
decode_0004,4202.61520829276,4202.61520829276
decode_0005,11880.8514046945,11880.8514046945
decode_0006,30860.9533384866,30860.9533384866
decode_0007,49905.3900219545,49905.3900219545
decode_0008,67.7210721570201,67.7210721570201
decode_0009,268.290053228354,268.290053228354
decode_0010,1226.7954083113,1226.7954083113
decode_0011,4341.79831566315,4341.79831566315
decode_0012,11941.761031102,11941.761031102
decode_0013,30992.6853461499,30992.6853461499
decode_0014,50032.5916023689,50032.5916023689
decode_0015,67.9578753430215,67.9578753430215
decode_0016,269.206623354278,269.206623354278
decode_0017,1236.41056605718,1236.41056605718
decode_0018,4396.69200187676,4396.69200187676
decode_0019,12003.0873609294,12003.0873609294
decode_0020,31053.2311433415,31053.2311433415
decode_0021,50096.4362374917,50096.4362374917
decode_0022,67.9850605990241,67.9850605990241
decode_0023,269.313273977397,269.313273977397
decode_0024,1237.53477975415,1237.53477975415
decode_0025,4396.91418514823,4396.91418514823
decode_0026,12009.9342902666,12009.9342902666
decode_0027,31079.0166081441,31079.0166081441
decode_0028,50103.7927454399,50103.7927454399
decode_0029,67.9918173793259,67.9918173793259
decode_0030,269.339781410449,269.339781410449
decode_0031,1237.81407235589,1237.81407235589
decode_0032,4397.02528520611,4397.02528520611
decode_0033,12013.3606858624,12013.3606858624
decode_0034,31089.4972647752,31089.4972647752
decode_0035,50103.7927454399,50103.7927454399
decode_0036,68.7474326541236,67.9985755028646
decode_0037,273.12838005059,269.366294062215
decode_0038,1219.38698829064,1238.09349105521
decode_0039,4467.56270829098,4397.13639087934
decode_0040,11906.6118938273,12016.5733391581
decode_0041,29918.7327817476,31099.2622558922
decode_0042,43932.7536459433,50103.7927454399
decode_0043,68.7508870645155,68.0019550684731
decode_0044,273.142011257437,269.379552345597
decode_0045,1219.5225677883,1238.23324771816
decode_0046,4467.62006593361,4397.19194582184
decode_0047,11907.0247453796,12016.993789852
decode_0048,29919.5511678536,31100.1713229616
decode_0049,43932.7536459433,50103.7927454399
decode_0050,67.8148422559684,67.2104193757308
decode_0051,268.526745746285,266.157319855326
decode_0052,1159.37344963853,1212.09459840395
decode_0053,4224.28371797854,4330.55238538483
decode_0054,12753.1305914842,11925.3996979998
decode_0055,31143.5853710137,31033.0678507434
decode_0056,53455.4877038893,49934.6045305308
decode_0057,68.3581154214974,67.7440107325895
decode_0058,270.846588486273,268.436218745794
decode_0059,1174.21227516979,1228.32308274139
decode_0060,4234.50045200435,4341.29016304195
decode_0061,12789.6595987562,11957.3322917913
decode_0062,31271.5262264952,31092.6969673845
decode_0063,53610.5572083227,50047.2692367784
decode_0064,67.9578753430215,67.9578753430215
decode_0065,269.206623354278,269.206623354278
decode_0066,1236.41056605718,1236.41056605718
decode_0067,4396.69200187676,4396.69200187676
decode_0068,12003.0873609294,12003.0873609294
decode_0069,31053.2311433415,31053.2311433415
decode_0070,50096.4362374917,50096.4362374917
decode_0071,68.7213499534693,67.9730578021374
decode_0072,273.025456633413,269.266185842379
decode_0073,1218.3629388207,1237.03790610249
decode_0074,4468.69773171466,4398.23573725554
decode_0075,11896.6571458043,12006.4354382572
decode_0076,29876.2981631446,31053.2311433415
decode_0077,43927.5310000376,50096.4362374917
decode_0078,66.1228327663382,67.9730578021374
decode_0079,262.768949360748,269.266185842379
decode_0080,1177.91437299202,1237.03790610249
decode_0081,4145.83587300136,4398.23573725554
decode_0082,10732.8536446305,12006.4354382572
decode_0083,28107.791157302,31053.2311433415
decode_0084,38196.5531363194,50096.4362374917
decode_0085,61.8062312368046,67.9730578021374
decode_0086,245.051868872792,269.266185842379
decode_0087,924.83975692985,1237.03790610249
decode_0088,3462.55197509412,4398.23573725554
decode_0089,9150.078617756,12006.4354382572
decode_0090,24879.5367926132,31053.2311433415
decode_0091,32876.1981173131,50096.4362374917
decode_0092,43.570770952298,67.9730578021374
decode_0093,173.53355005365,269.266185842379
decode_0094,731.660891453183,1237.03790610249
decode_0095,2500.94316356274,4398.23573725554
decode_0096,6309.39316589907,12006.4354382572
decode_0097,17116.392466434,31053.2311433415
decode_0098,19878.8007511373,50096.4362374917
decode_0099,68.26447586402,67.6520453902139
decode_0100,265.631219099909,263.312409482276
decode_0101,1110.66887572399,1158.96133052606
decode_0102,3341.58564510606,3399.36104577367
decode_0103,9510.66023457449,9521.04340804043
decode_0104,29227.4536122086,29071.2811302759
decode_0105,52072.7040904666,48695.4720530313
decode_0106,67.8556252461584,67.8556252461584
decode_0107,267.212781418565,267.212781418565
decode_0108,1209.46902773226,1209.46902773226
decode_0109,4008.88339061175,4008.88339061175
decode_0110,11508.4237216371,11508.4237216371
decode_0111,30424.8713154304,30424.8713154304
decode_0112,49620.5631943977,49620.5631943977
decode_0113,67.9578753430215,67.9578753430215
decode_0114,269.206623354278,269.206623354278
decode_0115,1236.41056605718,1236.41056605718
decode_0116,4396.69200187676,4396.69200187676
decode_0117,12003.0873609294,12003.0873609294
decode_0118,31053.2311433415,31053.2311433415
decode_0119,50096.4362374917,50096.4362374917
decode_0120,68.7232809674263,67.9920272244333
decode_0121,273.308851661803,269.877866155861
decode_0122,1222.22394847548,1245.65981228292
decode_0123,4541.51145904813,4543.1929901442
decode_0124,12021.3876305018,12177.5651279847
decode_0125,32539.9235658741,35872.9127803133
decode_0126,44051.0506660624,50257.098536746
decode_0127,68.727508359593,68.0003035473124
decode_0128,273.481494214076,270.214744425043
decode_0129,1224.47108696573,1250.33652563003
decode_0130,4579.65286297324,4620.16716761718
decode_0131,12086.4362059124,12266.7206614507
decode_0132,34044.4415397189,37944.5661212633
decode_0133,44113.0718404543,50337.8173426074
decode_0134,66.1381174832152,68.0003035473124
decode_0135,263.389429819404,270.552464795706
decode_0136,1185.75474743188,1254.07147151597
decode_0137,4230.37958699228,4699.79498600176
decode_0138,10898.9062498481,12357.1916790761
decode_0139,32039.3764847187,39774.1368793001
decode_0140,38383.7580451208,50418.7962540627
decode_0141,61.8371339857554,68.0003035473124
decode_0142,246.152115042521,270.555106559579
decode_0143,929.677720876377,1254.07147151597
decode_0144,3552.36426413048,4701.07092900358
decode_0145,9320.91984589064,12402.9296292316
decode_0146,27160.4416518011,40261.6759272389
decode_0147,33032.1544356134,50459.3836431957
decode_0148,68.826779166166,68.826779166166
decode_0149,279.840908191759,279.840908191759
decode_0150,1266.35351210076,1266.35351210076
decode_0151,4947.51206911306,4947.51206911306
decode_0152,12555.684282683,12555.684282683
decode_0153,39646.4218454969,39646.4218454969
decode_0154,48000.4323890171,48000.4323890171
decode_0155,68.8822512238094,68.8822512238094
decode_0156,280.106486068333,280.106486068333
decode_0157,1267.78352464028,1267.78352464028
decode_0158,4959.59833854076,4959.59833854076
decode_0159,12569.5544573454,12569.5544573454
decode_0160,39741.4104704076,39741.4104704076
decode_0161,48000.4323890171,48000.4323890171
decode_0162,68.8927219951391,68.8927219951391
decode_0163,280.23946413388,280.23946413388
decode_0164,1268.49974276153,1268.49974276153
decode_0165,4960.8747483388,4960.8747483388
decode_0166,12576.4836753981,12576.4836753981
decode_0167,39770.2206981076,39770.2206981076
decode_0168,48000.4323890171,48000.4323890171
decode_0169,68.8962129597112,68.8962129597112
decode_0170,280.283818218932,280.283818218932
decode_0171,1268.73866200701,1268.73866200701
decode_0172,4961.3003643067,4961.3003643067
decode_0173,12578.7951133004,12578.7951133004
decode_0174,39818.2361694913,39818.2361694913
decode_0175,48000.4323890171,48000.4323890171
decode_0176,68.8979585746767,68.8979585746767
decode_0177,280.306000527056,280.306000527056
decode_0178,1268.85815538429,1268.85815538429
decode_0179,4961.51319968284,4961.51319968284
decode_0180,12579.9511509935,12579.9511509935
decode_0181,39824.8586203673,39824.8586203673
decode_0182,48000.4323890171,48000.4323890171
decode_0183,69.5575567330384,68.8997042781041
decode_0184,277.588020904217,280.328186346691
decode_0185,1247.71657467623,1268.97767127307
decode_0186,4850.03008623526,4961.72605332356
decode_0187,12390.0246966934,12581.1074012594
decode_0188,34692.8601236218,39831.4832773422
decode_0189,42776.4406673602,48000.4323890171
decode_0190,69.5584463654294,68.9005771629932
decode_0191,277.591563024664,280.339280573585
decode_0192,1247.77436148329,1269.03743766127
decode_0193,4850.1317991309,4961.83248699387
decode_0194,12390.5855581483,12581.6856061255
decode_0195,34695.2802259832,39834.7964334617
decode_0196,42776.4406673602,48000.4323890171
decode_0197,69.2436660608885,68.6170892301482
decode_0198,274.505089448762,278.436968933983
decode_0199,1186.96996851054,1242.29065458451
decode_0200,4739.91697663712,4874.11740414618
decode_0201,13620.8419760076,12524.081242451
decode_0202,39441.8293481409,39637.6311121971
decode_0203,51328.2893349478,48000.4323890171
decode_0204,69.4589840194893,68.8062586726726
decode_0205,276.558095544177,280.058870879174
decode_0206,1210.03821990432,1267.58214729717
decode_0207,4810.72612524418,4949.02367719174
decode_0208,13662.1202529253,12558.9675265972
decode_0209,39529.2578230859,39725.9255917177
decode_0210,51328.2893349478,48000.4323890171
decode_0211,68.8927219951391,68.8927219951391
decode_0212,280.23946413388,280.23946413388
decode_0213,1268.49974276153,1268.49974276153
decode_0214,4960.8747483388,4960.8747483388
decode_0215,12576.4836753981,12576.4836753981
decode_0216,39770.2206981076,39770.2206981076
decode_0217,48000.4323890171,48000.4323890171
decode_0218,69.579863868782,68.9215914139692
decode_0219,277.676837932741,280.299713655515
decode_0220,1247.55049541876,1268.80590321862
decode_0221,4871.22732518921,4983.90930350549
decode_0222,12400.4392632382,12591.8526804399
decode_0223,34657.9655779692,39785.0077213996
decode_0224,42776.4406673602,48000.4323890171
decode_0225,66.8822276312725,68.936035198847
decode_0226,266.935104564885,280.329848132612
decode_0227,1205.12167743138,1268.95903887649
decode_0228,4437.42626937155,4987.45057139731
decode_0229,11096.3760904335,12597.6540131147
decode_0230,32111.0524774487,39792.4053626807
decode_0231,37439.1974881774,48000.4323890171
decode_0232,62.4490782977266,68.9454327291659
decode_0233,248.762913763028,280.359989090016
decode_0234,941.500776402412,1269.11221150509
decode_0235,3701.28958217742,4989.34257723302
decode_0236,9451.66483914931,12619.8702086782
decode_0237,27106.2490956206,39799.8057591051
decode_0238,32556.8069561926,48000.4323890171
decode_0239,43.8209048145658,68.949049766135
decode_0240,172.808073998904,280.375061999486
decode_0241,741.982234023429,1269.1888116876
decode_0242,2616.24768467611,4989.93463423939
decode_0243,6429.64848780262,12621.5780457477
decode_0244,17438.2873247044,39803.5069909778
decode_0245,19857.8055687923,48000.4323890171
decode_0246,69.0677967527157,68.4223706920146
decode_0247,271.2855154299,270.874836722402
decode_0248,1133.24622522065,1183.56641857519
decode_0249,4463.91662202913,4582.7506685895
decode_0250,12453.7005934625,11859.3142213208
decode_0251,24348.1570888782,24373.7506573308
decode_0252,39861.7525547144,37407.0712650883
decode_0253,68.7352213353989,68.7352213353989
decode_0254,277.046794170574,277.046794170574
decode_0255,1238.86581002954,1238.86581002954
decode_0256,4828.08481276985,4828.08481276985
decode_0257,12327.9771920055,12327.9771920055
decode_0258,35032.9829419985,35032.9829419985
decode_0259,44152.7663375236,44152.7663375236
decode_0260,68.8927219951391,68.8927219951391
decode_0261,280.23946413388,280.23946413388
decode_0262,1268.49974276153,1268.49974276153
decode_0263,4960.8747483388,4960.8747483388
decode_0264,12576.4836753981,12576.4836753981
decode_0265,39770.2206981076,39770.2206981076
decode_0266,48000.4323890171,48000.4323890171
decode_0267,69.5772658410802,68.9453827422108
decode_0268,277.880353675526,281.320103107145
decode_0269,1252.92691269211,1278.69531039537
decode_0270,4871.04639695658,5006.77654812128
decode_0271,12447.3254477483,12661.5613148504
decode_0272,35085.0197270336,40545.2179123211
decode_0273,43877.4028248468,49436.6971913393
decode_0274,70.2986469503315,69.5277034684218
decode_0275,280.86623107597,281.863554045316
decode_0276,1255.78252814072,1283.8548050018
decode_0277,4882.03522210943,5030.04751978083
decode_0278,12478.4502075169,12704.533385841
decode_0279,35308.3504689867,40944.1704668081
decode_0280,44007.9936992195,50183.5297071108
decode_0281,68.0970411055441,69.7742710613265
decode_0282,269.970594340274,283.972872509926
decode_0283,1212.67158846522,1285.07740557189
decode_0284,4438.70144737393,5048.02261392954
decode_0285,11158.6922978042,12747.7982279132
decode_0286,32857.3729345629,41351.0633530308
decode_0287,38366.0468052588,50361.9227627697
decode_0288,63.3439446747178,70.0140868537519
decode_0289,252.184388761853,284.996164738265
decode_0290,952.202014950164,1296.95400144612
decode_0291,3709.1225107263,5048.02261392954
decode_0292,9507.48810060231,12769.5413749945
decode_0293,27577.4370010765,41557.561975923
decode_0294,33040.6579253089,50451.5964890098
prefill_0001,11168.2191158285,11168.2191158285
prefill_0002,10875.8772465243,10875.8772465243
prefill_0003,53284.4323553397,53284.4323553397
prefill_0004,57375.6928728756,57375.6928728756
prefill_0005,125331.269245816,125331.269245816
prefill_0006,93036.0821179738,93036.0821179738
prefill_0007,155269.640584923,155269.640584923
prefill_0008,98858.6598806014,98858.6598806014
prefill_0009,171205.450652393,171205.450652393
prefill_0010,107321.212047764,107321.212047764
prefill_0011,176975.123807566,176975.123807566
prefill_0012,13163.6277548221,13163.6277548221
prefill_0013,12759.3796893108,12759.3796893108
prefill_0014,62414.4599218668,62414.4599218668
prefill_0015,69407.0931867251,69407.0931867251
prefill_0016,140398.231793096,140398.231793096
