candidate_id,baseline_noc,latency_multiplier,bw_multiplier,bs,minibatch,seq,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,kv_len_1,kv_len_2,kv_len_3,kv_len_4,paper_utps_avg,paper_stps_avg
203c50386bc7037c,torus_mesh_switch_1,1,1.25,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,72.8813891288549,291.52555651542
c85dfcb7f5b08694,torus_mesh_switch_1,1,1.5,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,76.4705556052901,305.88222242116
b972d3bff07e208f,torus_mesh_switch_1,1,1.5,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,72.9273123261371,291.709249304548
f369468a7fd1ed2f,torus_mesh_switch_1,1,2,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,72.3239002227656,289.295600891062
23ca2b8f7b83522a,torus_mesh_switch_1,1,2,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,62.8777351729245,251.510940691698
ae5fdd881f6fd9cb,torus_mesh_switch_1,2,0.5,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,76.9614342000575,307.84573680023
832f718feed3a376,torus_mesh_switch_1,2,0.5,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,71.6818723645384,286.727489458154
21aa08394e52e484,torus_mesh_switch_1,2,0.75,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,78.4266313771728,313.706525508691
764fbffce7aed98a,torus_mesh_switch_1,2,0.75,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,72.1349579381107,288.539831752443
43e7e2bdf7241d73,torus_mesh_switch_1,2,1,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,74.2535439991692,297.014175996677
547457da6209b7c5,torus_mesh_switch_1,2,1,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,72.3680081441125,289.47203257645
aa0737bb23a9dfa7,torus_mesh_switch_1,2,1.25,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,71.4030799913328,285.612319965331
9ee92335ba2292a6,torus_mesh_switch_1,2,1.25,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,70.1379159313525,280.55166372541
85b1a618260b0820,torus_mesh_switch_1,2,1.5,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,71.6880850078862,286.752340031545
f71ce16ccbf806e9,torus_mesh_switch_1,2,1.5,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,70.4205723707817,281.682289483127
7e2e02faf6069c9d,torus_mesh_switch_1,2,2,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,68.0216323751627,272.086529500651
c5753e54d8641545,torus_mesh_switch_1,2,2,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,60.9974846572156,243.989938628862
eee2309bcf6b00d0,torus_mesh_switch_1,4,0.5,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,67.2236279171903,268.894511668761
5b68b65bf318016c,torus_mesh_switch_1,4,0.5,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,65.9092837921454,263.637135168582
8898a2ae17cb62b8,torus_mesh_switch_1,4,0.75,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,68.9642211685888,275.856884674355
698b373c9e652939,torus_mesh_switch_1,4,0.75,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,67.3680080448067,269.472032179227
d475bac11bfdccc8,torus_mesh_switch_1,4,1,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,64.9108066504342,259.643226601737
c4e3ce36957355a6,torus_mesh_switch_1,4,1,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,66.7196349560824,266.87853982433
09fc2c93aed8f07d,torus_mesh_switch_1,4,1.25,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,62.7258305815005,250.903322326002
b609ed5f30c9e471,torus_mesh_switch_1,4,1.25,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,64.8236404903176,259.294561961271
c328c80b1640c3dc,torus_mesh_switch_1,4,1.5,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,62.9456659905952,251.782663962381
c22b8dd4147ced4c,torus_mesh_switch_1,4,1.5,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,65.0650116856245,260.260046742498
9103ee1c60b5c319,torus_mesh_switch_1,4,2,4,4,1,32,8,4,1,1,1,1,False,1,none,1024,1365,1707,2048,60.1112722204201,240.445088881681
bcfd7c21f5401cff,torus_mesh_switch_1,4,2,4,4,1,32,8,4,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,56.9470412993044,227.788165197218
800c4e44c8d14191,torus_mesh_switch_1,0.25,0.5,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,52.2137043099524,3341.67707583695
e5bfecb3ba786b3d,torus_mesh_switch_1,0.25,0.5,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,75.4459703350069,4828.54210144044
0912055164f503a6,torus_mesh_switch_1,0.25,0.75,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,66.6844245380717,4267.80317043659
f14304465d1b1ab8,torus_mesh_switch_1,0.25,0.75,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,76.8880999300027,4920.83839552018
dd36d73be651ae83,torus_mesh_switch_1,0.25,1,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,68.3225099885222,4372.64063926542
f5439c12b5f224e5,torus_mesh_switch_1,0.25,1,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,81.3811408803678,5208.39301634354
ec00388298f746f2,torus_mesh_switch_1,0.25,1.25,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,66.4326752850775,4251.69121824496
e9a620c79b9cec77,torus_mesh_switch_1,0.25,1.25,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,75.6398150938226,4840.94816600465
d2e7dc401ff77cf3,torus_mesh_switch_1,0.25,1.5,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,67.8086250683549,4339.75200437471
ee6ded114a133e2b,torus_mesh_switch_1,0.25,1.5,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,75.743991498896,4847.61545592934
5c89b761d53ecfaa,torus_mesh_switch_1,0.25,2,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,59.3710287116932,3799.74583754837
2d081226b64f18ff,torus_mesh_switch_1,0.25,2,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,60.1040781894487,3846.66100412472
cdfe588aa1eda712,torus_mesh_switch_1,0.5,0.5,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,51.6814678414636,3307.61394185367
98c8ee4eb02bce55,torus_mesh_switch_1,0.5,0.5,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,74.8584057365758,4790.93796714085
d54be13e2a258a13,torus_mesh_switch_1,0.5,0.75,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,65.9643929857426,4221.72115108753
d2a8b1520bda45e6,torus_mesh_switch_1,0.5,0.75,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,76.2779452264888,4881.78849449528
74be9064c8f0feb7,torus_mesh_switch_1,0.5,1,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,67.5668775865001,4324.28016553601
a55d57f2fc5a7b53,torus_mesh_switch_1,0.5,1,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,80.6979115890108,5164.66634169669
7010eded5fb32fa3,torus_mesh_switch_1,0.5,1.25,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,65.724947595653,4206.39664612179
93e04aa33d931fed,torus_mesh_switch_1,0.5,1.25,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,75.0582647672376,4803.7289451032
9c4200e670699b98,torus_mesh_switch_1,0.5,1.5,64,64,1,16,16,16,1,1,1,1,False,1,none,1024,1365,1707,2048,67.0865195758534,4293.53725285462
bf4eddd5c0fc8385,torus_mesh_switch_1,0.5,1.5,64,64,1,16,16,16,1,1,1,1,False,1,replace_only,1024,1365,1707,2048,75.179792022254,4811.50668942425
