source_run_id,scenario,batch_size,status,system_decode_tps_excluding_first
run-01,io1024_1024,1,ok,52.0427164937619
run-01,io1024_1024,2,ok,102.72364522512488
run-01,io1024_1024,4,ok,198.71257387687575
run-01,io1024_1024,8,ok,371.8596374217537
run-01,io1024_1024,16,ok,691.6668893914118
run-01,io1024_1024,32,ok,1296.615681785191
run-01,io1024_1024,64,ok,2317.8868219201954
run-01,io1024_1024,128,ok,3955.1969588872594
run-01,io1024_1024,256,ok,6199.159565239968
run-01,io1024_1024,512,ok,8997.498071869499
run-02,io3072_1024,1,ok,50.92684608501146
run-02,io3072_1024,2,ok,100.40475800059407
run-02,io3072_1024,4,ok,193.94902914368222
run-02,io3072_1024,8,ok,363.0227852210244
run-02,io3072_1024,16,ok,674.1773749984239
run-02,io3072_1024,32,ok,1251.5926800731443
run-02,io3072_1024,64,ok,2217.8681435050676
run-02,io3072_1024,128,ok,3739.0018715836413
run-02,io3072_1024,256,ok,5769.607165527066
run-02,io7168_1024,1,ok,50.536897707574425
run-02,io7168_1024,2,ok,99.3248454699563
run-02,io7168_1024,4,ok,191.8717504281462
run-02,io7168_1024,8,ok,358.0456777287093
run-02,io7168_1024,16,ok,669.6297052098573
run-02,io7168_1024,32,ok,1232.2824256824683
run-02,io7168_1024,64,ok,2169.5610825092776
run-02,io7168_1024,128,ok,3654.0805823880396
run-03,io15360_1024,1,ok,50.33151358174681
run-03,io15360_1024,2,ok,99.17459831044252
run-03,io15360_1024,4,ok,191.94123067106366
run-03,io15360_1024,8,ok,355.0029165814415
run-03,io15360_1024,16,ok,657.0780012852995
run-03,io15360_1024,32,ok,1198.5449725097262
run-03,io15360_1024,64,ok,2090.3274704901223
run-03,io31744_1024,1,ok,49.606918177102365
run-03,io31744_1024,2,ok,97.40678326597579
run-03,io31744_1024,4,ok,186.80007134527284
run-03,io31744_1024,8,ok,347.5724560863402
run-03,io31744_1024,16,ok,636.836005817498
run-03,io31744_1024,32,ok,1157.2615345138538
