candidate_id,expected_utps,expected_stps
decode_deepseek_bs1024_astra_space,9.24851011404872,9470.47435678589
decode_deepseek_bs1024_expanded_parallel,30.4559587643493,31186.9017746936
decode_deepseek_bs1024_module_flexible,38.8381061504957,39770.2206981076
decode_deepseek_bs128_astra_space,24.4935872564788,3135.17916882929
decode_deepseek_bs128_expanded_parallel,71.9359999742225,9207.80799670047
decode_deepseek_bs128_module_flexible,71.9359999742225,9207.80799670047
decode_deepseek_bs16_astra_space,65.3522834582882,1045.63653533261
decode_deepseek_bs16_expanded_parallel,82.8362760506341,1325.38041681015
decode_deepseek_bs16_module_flexible,79.2812339225958,1268.49974276153
decode_deepseek_bs1_astra_space,91.8114542574141,91.8114542574141
decode_deepseek_bs1_expanded_parallel,108.158682236499,108.158682236499
decode_deepseek_bs1_module_flexible,108.158682236499,108.158682236499
decode_deepseek_bs4_astra_space,90.2995073794431,361.198029517773
decode_deepseek_bs4_expanded_parallel,94.642020401142,378.568081604568
decode_deepseek_bs4_module_flexible,94.642020401142,378.568081604568
decode_deepseek_bs512_astra_space,12.3580734248043,6327.33359349981
decode_deepseek_bs512_expanded_parallel,39.2727729181342,20107.6597340847
decode_deepseek_bs512_module_flexible,44.6953411322466,22884.0146597103
decode_deepseek_bs64_astra_space,40.4268027324261,2587.31537487527
decode_deepseek_bs64_expanded_parallel,79.1036093439067,5062.63099801003
decode_deepseek_bs64_module_flexible,79.1036093439067,5062.63099801003
decode_qwen_bs1024_astra_space,21.341150060089,21853.3376615311
decode_qwen_bs1024_expanded_parallel,27.3924523572073,28049.8712137803
decode_qwen_bs1024_module_flexible,33.7571023162116,34567.2727718006
decode_qwen_bs128_astra_space,67.9063501529756,8692.01281958088
decode_qwen_bs128_expanded_parallel,52.729817538171,6749.41664488589
decode_qwen_bs128_module_flexible,56.9927910091324,7295.07724916895
decode_qwen_bs16_astra_space,90.685339183865,1450.96542694184
decode_qwen_bs16_expanded_parallel,89.856986189032,1437.71177902451
decode_qwen_bs16_module_flexible,89.856986189032,1437.71177902451
decode_qwen_bs1_astra_space,115.213407309005,115.213407309005
decode_qwen_bs1_expanded_parallel,110.848642476935,110.848642476935
decode_qwen_bs1_module_flexible,105.147493140697,105.147493140697
decode_qwen_bs4_astra_space,107.7525758313,431.0103033252
decode_qwen_bs4_expanded_parallel,110.051826134901,440.207304539604
decode_qwen_bs4_module_flexible,110.051826134901,440.207304539604
decode_qwen_bs512_astra_space,39.9265440004967,20442.3905282543
decode_qwen_bs512_expanded_parallel,35.9753753551372,18419.3921818302
decode_qwen_bs512_module_flexible,46.2890252659105,23699.9809361462
decode_qwen_bs64_astra_space,68.9928305061682,4415.54115239476
decode_qwen_bs64_expanded_parallel,61.1293436059144,3912.27799077852
decode_qwen_bs64_module_flexible,71.1118999504953,4551.1615968317
prefill_deepseek_bs1024_astra_space,111.047791898497,113712.938904061
prefill_deepseek_bs1024_expanded_parallel,165.930545831506,169912.878931462
prefill_deepseek_bs1024_module_flexible,166.459769025703,170454.80348232
prefill_deepseek_bs128_astra_space,740.034215079687,94724.3795302
prefill_deepseek_bs128_expanded_parallel,1354.15223911674,173331.486606942
prefill_deepseek_bs128_module_flexible,1354.15223911674,173331.486606942
prefill_deepseek_bs16_astra_space,1987.7246777876,31803.5948446016
prefill_deepseek_bs16_expanded_parallel,3767.98228605337,60287.716576854
prefill_deepseek_bs16_module_flexible,7232.1427095059,115714.283352094
prefill_deepseek_bs1_astra_space,2677.75931378911,2677.75931378911
prefill_deepseek_bs1_expanded_parallel,10726.2957499589,10726.2957499589
prefill_deepseek_bs1_module_flexible,13621.4418504467,13621.4418504467
prefill_deepseek_bs4_astra_space,2531.22551386522,10124.9020554609
prefill_deepseek_bs4_expanded_parallel,6946.37299751156,27785.4919900462
prefill_deepseek_bs4_module_flexible,14076.1208984408,56304.4835937632
