candidate_id,step,bs,expected_stps_avg,paper_stps_avg,delta_from_paper_stps_pct
table4_s01_bs4,1,4,271.122992221432,177.063113488481,53.1222324513513
table4_s01_bs1024,1,1024,7455.85345869084,5729.18152020972,30.1381956984654
table4_s02_bs4,2,4,291.217931495384,256.37285780014,13.5915611325782
table4_s02_bs1024,2,1024,21059.4846523208,21252.31101527,-0.907319504267612
table4_s03_bs4,3,4,291.217931495384,256.37285780014,13.5915611325782
table4_s03_bs1024,3,1024,25901.7213286126,24487.8304029777,5.77385134725101
table4_s04_bs4,4,4,349.713893031626,314.157387871448,11.31805474991
table4_s04_bs1024,4,1024,32884.91369571,31349.8585218456,4.89652982897755
table4_s05_bs4,5,4,378.568081604568,340.525082389805,11.1718640364984
table4_s05_bs1024,5,1024,39770.2206981076,38061.037122151,4.49063847228148
table4_s06_bs4,6,4,487.418338107264,493.28660731826,-1.18962670462477
table4_s06_bs1024,6,1024,50647.8952224199,51094.4611638709,-0.874000686725751
table4_s07_bs4,7,4,489.645019653795,494.120638394097,-0.905774499694723
table4_s07_bs1024,7,1024,53776.3424605974,54280.3283309256,-0.928487144100576
